chamber,value,topic,type,format,id,indicator
Senate,0.635,civic,map,.0%,610U500US09001,parks
Senate,0.604,civic,map,.0%,610U500US09002,parks
Senate,0.722,civic,map,.0%,610U500US09003,parks
Senate,0.782,civic,map,.0%,610U500US09004,parks
Senate,0.886,civic,map,.0%,610U500US09005,parks
Senate,0.656,civic,map,.0%,610U500US09006,parks
Senate,0.74,civic,map,.0%,610U500US09007,parks
Senate,0.861,civic,map,.0%,610U500US09008,parks
Senate,0.821,civic,map,.0%,610U500US09009,parks
Senate,0.55,civic,map,.0%,610U500US09010,parks
Senate,0.648,civic,map,.0%,610U500US09011,parks
Senate,0.902,civic,map,.0%,610U500US09012,parks
Senate,0.677,civic,map,.0%,610U500US09013,parks
Senate,0.785,civic,map,.0%,610U500US09014,parks
Senate,0.549,civic,map,.0%,610U500US09015,parks
Senate,0.711,civic,map,.0%,610U500US09016,parks
Senate,0.669,civic,map,.0%,610U500US09017,parks
Senate,0.79,civic,map,.0%,610U500US09018,parks
Senate,0.741,civic,map,.0%,610U500US09019,parks
Senate,0.774,civic,map,.0%,610U500US09020,parks
Senate,0.767,civic,map,.0%,610U500US09021,parks
Senate,0.757,civic,map,.0%,610U500US09022,parks
Senate,0.58,civic,map,.0%,610U500US09023,parks
Senate,0.755,civic,map,.0%,610U500US09024,parks
Senate,0.775,civic,map,.0%,610U500US09025,parks
Senate,0.913,civic,map,.0%,610U500US09026,parks
Senate,0.796,civic,map,.0%,610U500US09027,parks
Senate,0.914,civic,map,.0%,610U500US09028,parks
Senate,0.732,civic,map,.0%,610U500US09029,parks
Senate,0.793,civic,map,.0%,610U500US09030,parks
Senate,0.762,civic,map,.0%,610U500US09031,parks
Senate,0.856,civic,map,.0%,610U500US09032,parks
Senate,0.837,civic,map,.0%,610U500US09033,parks
Senate,0.772,civic,map,.0%,610U500US09034,parks
Senate,0.787,civic,map,.0%,610U500US09035,parks
Senate,0.877,civic,map,.0%,610U500US09036,parks
State,0.758,civic,map,.0%,Connecticut,parks
Senate,0.551,civic,map,.0%,610U500US09001,safe
Senate,0.537,civic,map,.0%,610U500US09002,safe
Senate,0.724,civic,map,.0%,610U500US09003,safe
Senate,0.741,civic,map,.0%,610U500US09004,safe
Senate,0.819,civic,map,.0%,610U500US09005,safe
Senate,0.638,civic,map,.0%,610U500US09006,safe
Senate,0.794,civic,map,.0%,610U500US09007,safe
Senate,0.78,civic,map,.0%,610U500US09008,safe
Senate,0.803,civic,map,.0%,610U500US09009,safe
Senate,0.5,civic,map,.0%,610U500US09010,safe
Senate,0.543,civic,map,.0%,610U500US09011,safe
Senate,0.863,civic,map,.0%,610U500US09012,safe
Senate,0.696,civic,map,.0%,610U500US09013,safe
Senate,0.778,civic,map,.0%,610U500US09014,safe
Senate,0.572,civic,map,.0%,610U500US09015,safe
Senate,0.706,civic,map,.0%,610U500US09016,safe
Senate,0.658,civic,map,.0%,610U500US09017,safe
Senate,0.741,civic,map,.0%,610U500US09018,safe
Senate,0.749,civic,map,.0%,610U500US09019,safe
Senate,0.738,civic,map,.0%,610U500US09020,safe
Senate,0.747,civic,map,.0%,610U500US09021,safe
Senate,0.654,civic,map,.0%,610U500US09022,safe
