district,chamber,indicator,value,topic,type,format,pad,id
State Senate District 1,Senate,Local parks in good condition,0.635,Community vitality,map,.0%,001,610U500US09001
State Senate District 2,Senate,Local parks in good condition,0.604,Community vitality,map,.0%,002,610U500US09002
State Senate District 3,Senate,Local parks in good condition,0.722,Community vitality,map,.0%,003,610U500US09003
State Senate District 4,Senate,Local parks in good condition,0.782,Community vitality,map,.0%,004,610U500US09004
State Senate District 5,Senate,Local parks in good condition,0.886,Community vitality,map,.0%,005,610U500US09005
State Senate District 6,Senate,Local parks in good condition,0.656,Community vitality,map,.0%,006,610U500US09006
State Senate District 7,Senate,Local parks in good condition,0.74,Community vitality,map,.0%,007,610U500US09007
State Senate District 8,Senate,Local parks in good condition,0.861,Community vitality,map,.0%,008,610U500US09008
State Senate District 9,Senate,Local parks in good condition,0.821,Community vitality,map,.0%,009,610U500US09009
State Senate District 10,Senate,Local parks in good condition,0.55,Community vitality,map,.0%,010,610U500US09010
State Senate District 11,Senate,Local parks in good condition,0.648,Community vitality,map,.0%,011,610U500US09011
State Senate District 12,Senate,Local parks in good condition,0.902,Community vitality,map,.0%,012,610U500US09012
State Senate District 13,Senate,Local parks in good condition,0.677,Community vitality,map,.0%,013,610U500US09013
State Senate District 14,Senate,Local parks in good condition,0.785,Community vitality,map,.0%,014,610U500US09014
State Senate District 15,Senate,Local parks in good condition,0.549,Community vitality,map,.0%,015,610U500US09015
State Senate District 16,Senate,Local parks in good condition,0.711,Community vitality,map,.0%,016,610U500US09016
State Senate District 17,Senate,Local parks in good condition,0.669,Community vitality,map,.0%,017,610U500US09017
State Senate District 18,Senate,Local parks in good condition,0.79,Community vitality,map,.0%,018,610U500US09018
State Senate District 19,Senate,Local parks in good condition,0.741,Community vitality,map,.0%,019,610U500US09019
State Senate District 20,Senate,Local parks in good condition,0.774,Community vitality,map,.0%,020,610U500US09020
State Senate District 21,Senate,Local parks in good condition,0.767,Community vitality,map,.0%,021,610U500US09021
State Senate District 22,Senate,Local parks in good condition,0.757,Community vitality,map,.0%,022,610U500US09022
State Senate District 23,Senate,Local parks in good condition,0.58,Community vitality,map,.0%,023,610U500US09023
State Senate District 24,Senate,Local parks in good condition,0.755,Community vitality,map,.0%,024,610U500US09024
State Senate District 25,Senate,Local parks in good condition,0.775,Community vitality,map,.0%,025,610U500US09025
State Senate District 26,Senate,Local parks in good condition,0.913,Community vitality,map,.0%,026,610U500US09026
State Senate District 27,Senate,Local parks in good condition,0.796,Community vitality,map,.0%,027,610U500US09027
State Senate District 28,Senate,Local parks in good condition,0.914,Community vitality,map,.0%,028,610U500US09028
State Senate District 29,Senate,Local parks in good condition,0.732,Community vitality,map,.0%,029,610U500US09029
State Senate District 30,Senate,Local parks in good condition,0.793,Community vitality,map,.0%,030,610U500US09030
State Senate District 31,Senate,Local parks in good condition,0.762,Community vitality,map,.0%,031,610U500US09031
State Senate District 32,Senate,Local parks in good condition,0.856,Community vitality,map,.0%,032,610U500US09032
State Senate District 33,Senate,Local parks in good condition,0.837,Community vitality,map,.0%,033,610U500US09033
State Senate District 34,Senate,Local parks in good condition,0.772,Community vitality,map,.0%,034,610U500US09034
State Senate District 35,Senate,Local parks in good condition,0.787,Community vitality,map,.0%,035,610U500US09035
State Senate District 36,Senate,Local parks in good condition,0.877,Community vitality,map,.0%,036,610U500US09036
Connecticut,State,Local parks in good condition,0.758,Community vitality,map,.0%,,Connecticut
State Senate District 1,Senate,Feel safe walking at night,0.551,Community vitality,map,.0%,001,610U500US09001
State Senate District 2,Senate,Feel safe walking at night,0.537,Community vitality,map,.0%,002,610U500US09002
State Senate District 3,Senate,Feel safe walking at night,0.724,Community vitality,map,.0%,003,610U500US09003
State Senate District 4,Senate,Feel safe walking at night,0.741,Community vitality,map,.0%,004,610U500US09004
State Senate District 5,Senate,Feel safe walking at night,0.819,Community vitality,map,.0%,005,610U500US09005
State Senate District 6,Senate,Feel safe walking at night,0.638,Community vitality,map,.0%,006,610U500US09006
State Senate District 7,Senate,Feel safe walking at night,0.794,Community vitality,map,.0%,007,610U500US09007
State Senate District 8,Senate,Feel safe walking at night,0.78,Community vitality,map,.0%,008,610U500US09008
State Senate District 9,Senate,Feel safe walking at night,0.803,Community vitality,map,.0%,009,610U500US09009
State Senate District 10,Senate,Feel safe walking at night,0.5,Community vitality,map,.0%,010,610U500US09010
State Senate District 11,Senate,Feel safe walking at night,0.543,Community vitality,map,.0%,011,610U500US09011
State Senate District 12,Senate,Feel safe walking at night,0.863,Community vitality,map,.0%,012,610U500US09012
State Senate District 13,Senate,Feel safe walking at night,0.696,Community vitality,map,.0%,013,610U500US09013
State Senate District 14,Senate,Feel safe walking at night,0.778,Community vitality,map,.0%,014,610U500US09014
State Senate District 15,Senate,Feel safe walking at night,0.572,Community vitality,map,.0%,015,610U500US09015
State Senate District 16,Senate,Feel safe walking at night,0.706,Community vitality,map,.0%,016,610U500US09016
State Senate District 17,Senate,Feel safe walking at night,0.658,Community vitality,map,.0%,017,610U500US09017
State Senate District 18,Senate,Feel safe walking at night,0.741,Community vitality,map,.0%,018,610U500US09018
State Senate District 19,Senate,Feel safe walking at night,0.749,Community vitality,map,.0%,019,610U500US09019
State Senate District 20,Senate,Feel safe walking at night,0.738,Community vitality,map,.0%,020,610U500US09020
State Senate District 21,Senate,Feel safe walking at night,0.747,Community vitality,map,.0%,021,610U500US09021
State Senate District 22,Senate,Feel safe walking at night,0.654,Community vitality,map,.0%,022,610U500US09022
State Senate District 23,Senate,Feel safe walking at night,0.491,Community vitality,map,.0%,023,610U500US09023
State Senate District 24,Senate,Feel safe walking at night,0.722,Community vitality,map,.0%,024,610U500US09024
State Senate District 25,Senate,Feel safe walking at night,0.722,Community vitality,map,.0%,025,610U500US09025
State Senate District 26,Senate,Feel safe walking at night,0.833,Community vitality,map,.0%,026,610U500US09026
State Senate District 27,Senate,Feel safe walking at night,0.71,Community vitality,map,.0%,027,610U500US09027
State Senate District 28,Senate,Feel safe walking at night,0.829,Community vitality,map,.0%,028,610U500US09028
State Senate District 29,Senate,Feel safe walking at night,0.664,Community vitality,map,.0%,029,610U500US09029
State Senate District 30,Senate,Feel safe walking at night,0.768,Community vitality,map,.0%,030,610U500US09030
State Senate District 31,Senate,Feel safe walking at night,0.703,Community vitality,map,.0%,031,610U500US09031
State Senate District 32,Senate,Feel safe walking at night,0.793,Community vitality,map,.0%,032,610U500US09032
State Senate District 33,Senate,Feel safe walking at night,0.776,Community vitality,map,.0%,033,610U500US09033
State Senate District 34,Senate,Feel safe walking at night,0.783,Community vitality,map,.0%,034,610U500US09034
State Senate District 35,Senate,Feel safe walking at night,0.768,Community vitality,map,.0%,035,610U500US09035
State Senate District 36,Senate,Feel safe walking at night,0.8,Community vitality,map,.0%,036,610U500US09036
Connecticut,State,Feel safe walking at night,0.717,Community vitality,map,.0%,,Connecticut
State Senate District 1,Senate,Satisfied with area,0.746,Community vitality,map,.0%,001,610U500US09001
State Senate District 2,Senate,Satisfied with area,0.763,Community vitality,map,.0%,002,610U500US09002
State Senate District 3,Senate,Satisfied with area,0.83,Community vitality,map,.0%,003,610U500US09003
State Senate District 4,Senate,Satisfied with area,0.846,Community vitality,map,.0%,004,610U500US09004
State Senate District 5,Senate,Satisfied with area,0.896,Community vitality,map,.0%,005,610U500US09005
State Senate District 6,Senate,Satisfied with area,0.723,Community vitality,map,.0%,006,610U500US09006
State Senate District 7,Senate,Satisfied with area,0.848,Community vitality,map,.0%,007,610U500US09007
State Senate District 8,Senate,Satisfied with area,0.878,Community vitality,map,.0%,008,610U500US09008
State Senate District 9,Senate,Satisfied with area,0.878,Community vitality,map,.0%,009,610U500US09009
State Senate District 10,Senate,Satisfied with area,0.793,Community vitality,map,.0%,010,610U500US09010
State Senate District 11,Senate,Satisfied with area,0.773,Community vitality,map,.0%,011,610U500US09011
State Senate District 12,Senate,Satisfied with area,0.906,Community vitality,map,.0%,012,610U500US09012
State Senate District 13,Senate,Satisfied with area,0.729,Community vitality,map,.0%,013,610U500US09013
State Senate District 14,Senate,Satisfied with area,0.862,Community vitality,map,.0%,014,610U500US09014
State Senate District 15,Senate,Satisfied with area,0.671,Community vitality,map,.0%,015,610U500US09015
State Senate District 16,Senate,Satisfied with area,0.775,Community vitality,map,.0%,016,610U500US09016
State Senate District 17,Senate,Satisfied with area,0.783,Community vitality,map,.0%,017,610U500US09017
State Senate District 18,Senate,Satisfied with area,0.849,Community vitality,map,.0%,018,610U500US09018
State Senate District 19,Senate,Satisfied with area,0.754,Community vitality,map,.0%,019,610U500US09019
State Senate District 20,Senate,Satisfied with area,0.819,Community vitality,map,.0%,020,610U500US09020
State Senate District 21,Senate,Satisfied with area,0.837,Community vitality,map,.0%,021,610U500US09021
State Senate District 22,Senate,Satisfied with area,0.774,Community vitality,map,.0%,022,610U500US09022
State Senate District 23,Senate,Satisfied with area,0.666,Community vitality,map,.0%,023,610U500US09023
State Senate District 24,Senate,Satisfied with area,0.878,Community vitality,map,.0%,024,610U500US09024
State Senate District 25,Senate,Satisfied with area,0.88,Community vitality,map,.0%,025,610U500US09025
State Senate District 26,Senate,Satisfied with area,0.951,Community vitality,map,.0%,026,610U500US09026
State Senate District 27,Senate,Satisfied with area,0.884,Community vitality,map,.0%,027,610U500US09027
State Senate District 28,Senate,Satisfied with area,0.908,Community vitality,map,.0%,028,610U500US09028
State Senate District 29,Senate,Satisfied with area,0.837,Community vitality,map,.0%,029,610U500US09029
State Senate District 30,Senate,Satisfied with area,0.844,Community vitality,map,.0%,030,610U500US09030
State Senate District 31,Senate,Satisfied with area,0.74,Community vitality,map,.0%,031,610U500US09031
State Senate District 32,Senate,Satisfied with area,0.879,Community vitality,map,.0%,032,610U500US09032
State Senate District 33,Senate,Satisfied with area,0.867,Community vitality,map,.0%,033,610U500US09033
State Senate District 34,Senate,Satisfied with area,0.86,Community vitality,map,.0%,034,610U500US09034
State Senate District 35,Senate,Satisfied with area,0.844,Community vitality,map,.0%,035,610U500US09035
State Senate District 36,Senate,Satisfied with area,0.941,Community vitality,map,.0%,036,610U500US09036
Connecticut,State,Satisfied with area,0.827,Community vitality,map,.0%,,Connecticut
State Senate District 1,Senate,Feel local government is responsive,0.363,Community vitality,map,.0%,001,610U500US09001
State Senate District 2,Senate,Feel local government is responsive,0.353,Community vitality,map,.0%,002,610U500US09002
State Senate District 3,Senate,Feel local government is responsive,0.447,Community vitality,map,.0%,003,610U500US09003
State Senate District 4,Senate,Feel local government is responsive,0.477,Community vitality,map,.0%,004,610U500US09004
State Senate District 5,Senate,Feel local government is responsive,0.705,Community vitality,map,.0%,005,610U500US09005
State Senate District 6,Senate,Feel local government is responsive,0.45,Community vitality,map,.0%,006,610U500US09006
State Senate District 7,Senate,Feel local government is responsive,0.497,Community vitality,map,.0%,007,610U500US09007
State Senate District 8,Senate,Feel local government is responsive,0.643,Community vitality,map,.0%,008,610U500US09008
State Senate District 9,Senate,Feel local government is responsive,0.605,Community vitality,map,.0%,009,610U500US09009
State Senate District 10,Senate,Feel local government is responsive,0.364,Community vitality,map,.0%,010,610U500US09010
State Senate District 11,Senate,Feel local government is responsive,0.428,Community vitality,map,.0%,011,610U500US09011
State Senate District 12,Senate,Feel local government is responsive,0.541,Community vitality,map,.0%,012,610U500US09012
State Senate District 13,Senate,Feel local government is responsive,0.391,Community vitality,map,.0%,013,610U500US09013
State Senate District 14,Senate,Feel local government is responsive,0.545,Community vitality,map,.0%,014,610U500US09014
State Senate District 15,Senate,Feel local government is responsive,0.326,Community vitality,map,.0%,015,610U500US09015
State Senate District 16,Senate,Feel local government is responsive,0.475,Community vitality,map,.0%,016,610U500US09016
State Senate District 17,Senate,Feel local government is responsive,0.415,Community vitality,map,.0%,017,610U500US09017
State Senate District 18,Senate,Feel local government is responsive,0.509,Community vitality,map,.0%,018,610U500US09018
State Senate District 19,Senate,Feel local government is responsive,0.387,Community vitality,map,.0%,019,610U500US09019
State Senate District 20,Senate,Feel local government is responsive,0.491,Community vitality,map,.0%,020,610U500US09020
State Senate District 21,Senate,Feel local government is responsive,0.478,Community vitality,map,.0%,021,610U500US09021
State Senate District 22,Senate,Feel local government is responsive,0.423,Community vitality,map,.0%,022,610U500US09022
State Senate District 23,Senate,Feel local government is responsive,0.297,Community vitality,map,.0%,023,610U500US09023
State Senate District 24,Senate,Feel local government is responsive,0.565,Community vitality,map,.0%,024,610U500US09024
State Senate District 25,Senate,Feel local government is responsive,0.507,Community vitality,map,.0%,025,610U500US09025
State Senate District 26,Senate,Feel local government is responsive,0.781,Community vitality,map,.0%,026,610U500US09026
State Senate District 27,Senate,Feel local government is responsive,0.48,Community vitality,map,.0%,027,610U500US09027
State Senate District 28,Senate,Feel local government is responsive,0.711,Community vitality,map,.0%,028,610U500US09028
State Senate District 29,Senate,Feel local government is responsive,0.526,Community vitality,map,.0%,029,610U500US09029
State Senate District 30,Senate,Feel local government is responsive,0.487,Community vitality,map,.0%,030,610U500US09030
State Senate District 31,Senate,Feel local government is responsive,0.434,Community vitality,map,.0%,031,610U500US09031
State Senate District 32,Senate,Feel local government is responsive,0.618,Community vitality,map,.0%,032,610U500US09032
State Senate District 33,Senate,Feel local government is responsive,0.449,Community vitality,map,.0%,033,610U500US09033
State Senate District 34,Senate,Feel local government is responsive,0.565,Community vitality,map,.0%,034,610U500US09034
State Senate District 35,Senate,Feel local government is responsive,0.514,Community vitality,map,.0%,035,610U500US09035
State Senate District 36,Senate,Feel local government is responsive,0.653,Community vitality,map,.0%,036,610U500US09036
Connecticut,State,Feel local government is responsive,0.5,Community vitality,map,.0%,,Connecticut
State Senate District 1,Senate,Think residents are able to obtain jobs,0.343,Community vitality,map,.0%,001,610U500US09001
State Senate District 2,Senate,Think residents are able to obtain jobs,0.327,Community vitality,map,.0%,002,610U500US09002
State Senate District 3,Senate,Think residents are able to obtain jobs,0.365,Community vitality,map,.0%,003,610U500US09003
State Senate District 4,Senate,Think residents are able to obtain jobs,0.426,Community vitality,map,.0%,004,610U500US09004
State Senate District 5,Senate,Think residents are able to obtain jobs,0.575,Community vitality,map,.0%,005,610U500US09005
State Senate District 6,Senate,Think residents are able to obtain jobs,0.307,Community vitality,map,.0%,006,610U500US09006
State Senate District 7,Senate,Think residents are able to obtain jobs,0.484,Community vitality,map,.0%,007,610U500US09007
State Senate District 8,Senate,Think residents are able to obtain jobs,0.527,Community vitality,map,.0%,008,610U500US09008
State Senate District 9,Senate,Think residents are able to obtain jobs,0.616,Community vitality,map,.0%,009,610U500US09009
State Senate District 10,Senate,Think residents are able to obtain jobs,0.265,Community vitality,map,.0%,010,610U500US09010
State Senate District 11,Senate,Think residents are able to obtain jobs,0.358,Community vitality,map,.0%,011,610U500US09011
State Senate District 12,Senate,Think residents are able to obtain jobs,0.424,Community vitality,map,.0%,012,610U500US09012
State Senate District 13,Senate,Think residents are able to obtain jobs,0.304,Community vitality,map,.0%,013,610U500US09013
State Senate District 14,Senate,Think residents are able to obtain jobs,0.487,Community vitality,map,.0%,014,610U500US09014
State Senate District 15,Senate,Think residents are able to obtain jobs,0.248,Community vitality,map,.0%,015,610U500US09015
State Senate District 16,Senate,Think residents are able to obtain jobs,0.393,Community vitality,map,.0%,016,610U500US09016
State Senate District 17,Senate,Think residents are able to obtain jobs,0.266,Community vitality,map,.0%,017,610U500US09017
State Senate District 18,Senate,Think residents are able to obtain jobs,0.369,Community vitality,map,.0%,018,610U500US09018
State Senate District 19,Senate,Think residents are able to obtain jobs,0.337,Community vitality,map,.0%,019,610U500US09019
State Senate District 20,Senate,Think residents are able to obtain jobs,0.391,Community vitality,map,.0%,020,610U500US09020
State Senate District 21,Senate,Think residents are able to obtain jobs,0.434,Community vitality,map,.0%,021,610U500US09021
State Senate District 22,Senate,Think residents are able to obtain jobs,0.366,Community vitality,map,.0%,022,610U500US09022
State Senate District 23,Senate,Think residents are able to obtain jobs,0.212,Community vitality,map,.0%,023,610U500US09023
State Senate District 24,Senate,Think residents are able to obtain jobs,0.508,Community vitality,map,.0%,024,610U500US09024
State Senate District 25,Senate,Think residents are able to obtain jobs,0.529,Community vitality,map,.0%,025,610U500US09025
State Senate District 26,Senate,Think residents are able to obtain jobs,0.686,Community vitality,map,.0%,026,610U500US09026
State Senate District 27,Senate,Think residents are able to obtain jobs,0.59,Community vitality,map,.0%,027,610U500US09027
State Senate District 28,Senate,Think residents are able to obtain jobs,0.579,Community vitality,map,.0%,028,610U500US09028
State Senate District 29,Senate,Think residents are able to obtain jobs,0.354,Community vitality,map,.0%,029,610U500US09029
State Senate District 30,Senate,Think residents are able to obtain jobs,0.324,Community vitality,map,.0%,030,610U500US09030
State Senate District 31,Senate,Think residents are able to obtain jobs,0.345,Community vitality,map,.0%,031,610U500US09031
State Senate District 32,Senate,Think residents are able to obtain jobs,0.435,Community vitality,map,.0%,032,610U500US09032
State Senate District 33,Senate,Think residents are able to obtain jobs,0.348,Community vitality,map,.0%,033,610U500US09033
State Senate District 34,Senate,Think residents are able to obtain jobs,0.458,Community vitality,map,.0%,034,610U500US09034
State Senate District 35,Senate,Think residents are able to obtain jobs,0.378,Community vitality,map,.0%,035,610U500US09035
State Senate District 36,Senate,Think residents are able to obtain jobs,0.677,Community vitality,map,.0%,036,610U500US09036
Connecticut,State,Think residents are able to obtain jobs,0.417,Community vitality,map,.0%,,Connecticut
State Senate District 1,Senate,Good place to raise kids,0.562,Community vitality,map,.0%,001,610U500US09001
State Senate District 2,Senate,Good place to raise kids,0.522,Community vitality,map,.0%,002,610U500US09002
State Senate District 3,Senate,Good place to raise kids,0.697,Community vitality,map,.0%,003,610U500US09003
State Senate District 4,Senate,Good place to raise kids,0.757,Community vitality,map,.0%,004,610U500US09004
State Senate District 5,Senate,Good place to raise kids,0.943,Community vitality,map,.0%,005,610U500US09005
State Senate District 6,Senate,Good place to raise kids,0.497,Community vitality,map,.0%,006,610U500US09006
State Senate District 7,Senate,Good place to raise kids,0.793,Community vitality,map,.0%,007,610U500US09007
State Senate District 8,Senate,Good place to raise kids,0.857,Community vitality,map,.0%,008,610U500US09008
State Senate District 9,Senate,Good place to raise kids,0.898,Community vitality,map,.0%,009,610U500US09009
State Senate District 10,Senate,Good place to raise kids,0.446,Community vitality,map,.0%,010,610U500US09010
State Senate District 11,Senate,Good place to raise kids,0.556,Community vitality,map,.0%,011,610U500US09011
State Senate District 12,Senate,Good place to raise kids,0.907,Community vitality,map,.0%,012,610U500US09012
State Senate District 13,Senate,Good place to raise kids,0.637,Community vitality,map,.0%,013,610U500US09013
